trial	trial_type	stimulus	fontsize	response	accuracy	reactiontime
1	go	1	16	1	1	580
2	go	4	16	1	1	674
3	go	1	13	1	1	402
4	go	1	10	1	1	169
5	go	5	16	0	0	n/a
6	go	1	10	1	1	190
7	go	8	13	1	1	27
8	go	6	10	1	1	1002
9	go	5	13	1	1	972
10	go	7	10	1	1	1034
11	go	7	7	1	1	1029
12	go	9	7	1	1	953
13	go	2	16	1	1	902
14	nogo	3	13	0	1	n/a
15	go	8	10	1	1	530
16	go	5	16	1	1	388
17	go	5	13	1	1	264
18	go	6	7	1	1	396
19	go	1	4	1	1	591
20	go	8	4	1	1	376
21	go	9	7	1	1	711
22	go	8	13	1	1	523
23	go	2	7	1	1	791
24	go	7	13	1	1	679
25	go	6	16	1	1	435
26	go	4	10	1	1	294
27	go	8	10	1	1	321
28	go	6	10	1	1	299
29	go	8	16	1	1	214
30	go	2	10	1	1	24
31	go	9	7	0	0	n/a
32	go	8	13	1	1	173
33	go	9	13	1	1	212
34	go	5	7	1	1	231
35	go	2	10	1	1	282
36	go	4	16	1	1	365
37	nogo	3	7	1	0	118
38	go	5	10	1	1	394
39	go	5	10	1	1	611
40	go	6	16	1	1	412
41	nogo	3	16	1	0	417
42	go	2	10	1	1	652
43	go	7	13	1	1	562
44	go	5	7	1	1	674
45	go	7	7	1	1	478
46	go	8	16	1	1	637
47	go	2	4	1	1	325
48	go	7	10	1	1	409
49	go	4	16	1	1	414
50	go	1	4	1	1	388
51	nogo	3	10	1	0	701
52	go	7	10	1	1	789
53	go	4	10	1	1	760
54	go	6	4	1	1	780
55	go	4	16	1	1	796
56	go	8	16	1	1	743
57	go	8	7	1	1	601
58	go	4	4	1	1	1021
59	go	1	16	1	1	856
60	go	9	7	1	1	623
61	go	9	4	1	1	683
62	go	4	7	1	1	833
63	go	8	7	1	1	782
64	go	2	4	1	1	751
65	go	2	10	1	1	720
66	go	8	16	1	1	690
67	go	7	4	1	1	778
68	nogo	3	7	0	1	n/a
69	go	4	10	1	1	454
70	go	7	13	1	1	696
71	go	1	7	1	1	829
72	go	4	7	1	1	820
73	nogo	3	7	0	1	n/a
74	go	5	16	1	1	326
75	go	9	13	1	1	417
76	go	8	13	1	1	486
77	go	4	10	1	1	620
78	go	7	16	1	1	539
79	go	4	10	1	1	483
80	go	1	7	1	1	643
81	go	2	4	1	1	660
